2026-05-19 16:36:52 | INFO     | scoring.ats_scorer | _score_experience(): total=48 months, relevance=1.00, score=100.00.
2026-05-19 16:36:52 | INFO     | parsers.education_parser | Certification relevance: score=1.00, relevant=3/3.
2026-05-19 16:36:52 | INFO     | parsers.education_parser | Certification relevance: score=1.00, relevant=3/3.
2026-05-19 16:36:52 | INFO     | scoring.ats_scorer | _score_certifications(): total=3, relevant=3, score=100.00.
2026-05-19 16:36:52 | INFO     | scoring.ats_scorer | Scoring complete — final_score=84.20, shortlisted=True, label=Moderate Match.
2026-05-19 16:36:54 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-05-19 16:36:54 | INFO     | scoring.ats_scorer | _score_skills(): matched 3/3, score=76.00.
2026-05-19 16:36:54 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 1.00 (total months: 48).
2026-05-19 16:36:54 | INFO     | scoring.ats_scorer | _score_experience(): total=48 months, relevance=1.00, score=100.00.
2026-05-19 16:36:54 | INFO     | scoring.ats_scorer | Scoring complete — final_score=78.20, shortlisted=True, label=Moderate Match.
