2026-06-12 16:23:11 | WARNING  | parsers.education_parser | CertificationObject validation failed for 'Lean Manufacturing': 3 validation errors for CertificationObject
issuing_organization
  Field required [type=missing, input_value={'name': 'Lean Manufactur... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
issue_date
  Field required [type=missing, input_value={'name': 'Lean Manufactur... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
is_expired
  Field required [type=missing, input_value={'name': 'Lean Manufactur... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing — skipping.
2026-06-12 16:23:11 | WARNING  | parsers.education_parser | CertificationObject validation failed for 'Lean Manufacturing': 3 validation errors for CertificationObject
issuing_organization
  Field required [type=missing, input_value={'name': 'Lean Manufactur... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
issue_date
  Field required [type=missing, input_value={'name': 'Lean Manufactur... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
is_expired
  Field required [type=missing, input_value={'name': 'Lean Manufactur... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing — skipping.
2026-06-12 16:23:11 | WARNING  | parsers.education_parser | CertificationObject validation failed for 'Internal Auditor': 3 validation errors for CertificationObject
issuing_organization
  Field required [type=missing, input_value={'name': 'Internal Audito... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
issue_date
  Field required [type=missing, input_value={'name': 'Internal Audito... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
is_expired
  Field required [type=missing, input_value={'name': 'Internal Audito... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing — skipping.
2026-06-12 16:23:11 | WARNING  | parsers.education_parser | CertificationObject validation failed for 'Internal Auditor': 3 validation errors for CertificationObject
issuing_organization
  Field required [type=missing, input_value={'name': 'Internal Audito... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
issue_date
  Field required [type=missing, input_value={'name': 'Internal Audito... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
is_expired
  Field required [type=missing, input_value={'name': 'Internal Audito... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing — skipping.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | parse_to_objects(): 0 education, 0 certification objects.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | parse_to_objects(): 0 education, 0 certification objects.
2026-06-12 16:23:11 | WARNING  | screening_ai.eligibility_engine | No eligibility rules found for job_id=JOB-001 — using defaults
2026-06-12 16:23:11 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C001, job_id=JOB-001, status=Eligible, score=75.00
2026-06-12 16:23:11 | WARNING  | screening_ai.eligibility_engine | No eligibility rules found for job_id=JOB-001 — using defaults
2026-06-12 16:23:11 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C002, job_id=JOB-001, status=Review, score=30.00
